NO,TAHUN,URAIAN,PIHAK,STATUS_FINAL,SUMBER_KEPUTUSAN,PERLU_VERIFIKASI,PANJANG_TEKS,JUMLAH_KATA,KATEGORI,RISIKO_RULE
1,2021,"Pada tanggal 6 Januari 2021, dilaksanakan mediasi permasalahan hak sewa lahan bengkok di Desa Petahunan, Kec. Pekuncen.",Warga dengan Pemerintah Desa Petahunan,Belum Diketahui,"Data rekap 2021 (dari dokumen Data_konflik_2021_.xlsx, sheet AKSI, baris NO 1)",False,119,17,Warga/Masyarakat vs Pemerintah,Rendah
2,2020,"Pada tanggal 3 Januari 2020, Pedagang Pasar Patikraja menuntut pembongkaran jembatan yang ada di depan pasar karena menutupi akses jalan masuk tempat parkir; bangunan kios di atasnya tidak diberi atap sehingga air masuk ke kios.",Warga dengan Pemerintah Desa Patikraja,Belum Diketahui,"Data rekap 2020 (dari dokumen rekap_konflik_2020.docx, tabel Bakesbangpol)",False,228,35,Pedagang vs Pemerintah/Pengelola Pasar,Sedang
3,2020,"Pada tanggal 14 Januari 2020, mediasi pedagang sate Madura dengan paguyuban orang Madura terkait zonasi/etika sesama pedagang sate Madura.",Warga dengan Warga (Suku Madura dengan Suku Madura),Belum Diketahui,"Data rekap 2020 (dari dokumen rekap_konflik_2020.docx, tabel Bakesbangpol)",False,138,19,Pedagang vs Pemerintah/Pengelola Pasar,Rendah
4,2020,"Pada tanggal 13 Januari 2020, aksi/mediasi Ormas Sakti di depan PT. Pratama Finance terkait tuntutan debitur a.n. Kismas, alamat Desa Darmakradenan RT. 4/3 Kec. Ajibarang.",Ormas dengan Pengusaha,Belum Diketahui,"Data rekap 2020 (dari dokumen rekap_konflik_2020.docx, tabel Bakesbangpol)",False,171,25,Antar Ormas,Rendah
5,2020,"Pada tanggal 13 Januari 2020, aksi demo di PT. Cebong Kayu Indo Desa Tipar Kec. Ajibarang oleh karyawannya terkait kenaikan upah.",Karyawan dengan Pengusaha,Belum Diketahui,"Data rekap 2020 (dari dokumen rekap_konflik_2020.docx, tabel Bakesbangpol)",False,129,21,Warga/Masyarakat vs Pemerintah,Sedang
6,2020,"Pada tanggal 24 Januari 2020, mediasi warga Desa Karangsalam Kec. Baturaden yang terkena pelebaran jalan menuju jembatan gantung dengan PT. Buana Pamula Sakti.",Warga dengan Kontraktor Kemen PUPR,Belum Diketahui,"Data rekap 2020 (dari dokumen rekap_konflik_2020.docx, tabel Bakesbangpol)",False,159,23,Antar Ormas,Rendah
7,2020,"Pada tanggal 18 Februari 2020, aksi demo GMBI Kab. Banyumas terkait eksekusi ruko dan bangunan rumah depan RSUD Banyumas yang dilakukan oleh Pengadilan Negeri Banyumas.",Ormas dengan Pemerintah,Belum Diketahui,"Data rekap 2020 (dari dokumen rekap_konflik_2020.docx, tabel Bakesbangpol)",False,168,25,Antar Ormas,Sedang
8,2020,"Pada tanggal 27 Februari 2020, audiensi Gerakan Moral di PT Clipan Finance oleh Aliansi Rakyat Bersatu (Sakti Tiger).",Ormas dengan Swasta,Belum Diketahui,"Data rekap 2020 (dari dokumen rekap_konflik_2020.docx, tabel Bakesbangpol)",False,117,18,Antar Ormas,Rendah
9,2020,"Pada tanggal 8 Maret 2020, audiensi masyarakat warga Desa Kober Kec. Purwokerto Barat dengan PT. Protelindo terkait perpanjangan tower.",Masyarakat dengan Pemerintah,Belum Diketahui,"Data rekap 2020 (dari dokumen rekap_konflik_2020.docx, tabel Bakesbangpol)",False,135,19,Warga/Masyarakat vs Pemerintah,Rendah
10,2020,"Pada tanggal 1 Maret 2020, aksi GMNI di Bank Mandiri Cabang Purwokerto.",Ormas dengan BUMN,Belum Diketahui,"Data rekap 2020 (dari dokumen rekap_konflik_2020.docx, tabel Bakesbangpol)",False,71,12,Antar Ormas,Sedang
